anomaly_pattern,anomaly_point,change_point,timestamp,value
0.0,0,0.0,2018-04-25 17:03:02,0
0.0,0,0.0,2018-04-25 14:16:22,153
0.0,0,0.0,2018-04-25 11:29:42,159
0.0,0,0.0,2018-04-25 08:43:02,188
0.0,0,0.0,2018-04-25 05:56:22,116
0.0,0,0.0,2018-04-25 03:09:42,137
0.0,0,0.0,2018-04-25 00:23:02,214
0.0,0,0.0,2018-04-24 21:36:22,246
0.0,0,0.0,2018-04-24 18:49:42,175
0.0,0,0.0,2018-04-24 16:03:02,196
0.0,0,0.0,2018-04-24 13:16:22,232
0.0,0,0.0,2018-04-24 10:29:42,203
0.0,0,0.0,2018-04-24 07:43:02,208
0.0,0,0.0,2018-04-24 04:56:22,245
0.0,0,0.0,2018-04-24 02:09:42,235
0.0,0,0.0,2018-04-23 23:23:02,193
0.0,0,0.0,2018-04-23 20:36:22,160
0.0,0,0.0,2018-04-23 17:49:42,99
0.0,0,0.0,2018-04-23 15:03:02,66
0.0,0,0.0,2018-04-23 12:16:22,50
0.0,0,0.0,2018-04-23 09:29:42,40
0.0,0,0.0,2018-04-23 06:43:02,37
0.0,0,0.0,2018-04-23 03:56:22,59
0.0,0,0.0,2018-04-23 01:09:42,68
0.0,0,0.0,2018-04-22 22:23:02,74
0.0,0,0.0,2018-04-22 19:36:22,88
0.0,0,0.0,2018-04-22 16:49:42,213
0.0,0,0.0,2018-04-22 14:03:02,165
0.0,0,0.0,2018-04-22 11:16:22,309
0.0,0,0.0,2018-04-22 08:29:42,182
0.0,0,0.0,2018-04-22 05:43:02,221
0.0,0,0.0,2018-04-22 02:56:22,196
0.0,0,0.0,2018-04-22 00:09:42,152
0.0,0,0.0,2018-04-21 21:23:02,144
0.0,0,0.0,2018-04-21 18:36:22,226
0.0,0,0.0,2018-04-21 15:49:42,267
0.0,0,0.0,2018-04-21 13:03:02,238
0.0,0,0.0,2018-04-21 10:16:22,264
0.0,0,0.0,2018-04-21 07:29:42,282
0.0,0,0.0,2018-04-21 04:43:02,333
0.0,0,0.0,2018-04-21 01:56:22,148
0.0,0,0.0,2018-04-20 23:09:42,122
0.0,0,0.0,2018-04-20 20:23:02,99
0.0,0,0.0,2018-04-20 17:36:22,71
0.0,0,0.0,2018-04-20 14:49:42,48
0.0,0,0.0,2018-04-20 12:03:02,49
0.0,0,0.0,2018-04-20 09:16:22,54
0.0,0,0.0,2018-04-20 06:29:42,111
0.0,0,0.0,2018-04-20 03:43:02,170
0.0,0,0.0,2018-04-20 00:56:22,83
0.0,0,0.0,2018-04-19 22:09:42,107
